Stock,Weight,Date
SH600221,0.819475416,2017/2/28
SH603167,0.819475416,2017/2/28
SH603223,0.819475414,2017/2/28
SZ002627,0.819475415,2017/2/28
SH600593,0.142995711,2017/2/28
SH603199,0.142995709,2017/2/28
SZ002306,0.14299571,2017/2/28
SH600229,0.959721208,2017/2/28
SH600386,0.959721209,2017/2/28
SH600661,0.959721207,2017/2/28
SH601928,0.959721208,2017/2/28
SH600101,0.534650628,2017/2/28
SH600283,0.534650628,2017/2/28
SH600644,0.534650627,2017/2/28
SH600864,0.534650627,2017/2/28
SZ000421,0.534650627,2017/2/28
SZ000862,0.534650627,2017/2/28
SH600191,0.183244503,2017/2/28
SZ000713,0.183244503,2017/2/28
SZ000876,0.183244502,2017/2/28
SZ002746,0.183244502,2017/2/28
SH600273,0.227659837,2017/2/28
SH600589,0.227659837,2017/2/28
SZ002165,0.227659837,2017/2/28
SZ002274,0.227659837,2017/2/28
SZ002381,0.227659837,2017/2/28
SZ002734,0.227659836,2017/2/28
SZ300041,0.227659837,2017/2/28
SZ300067,0.227659837,2017/2/28
SZ300218,0.227659836,2017/2/28
SZ300305,0.227659836,2017/2/28
SZ300321,0.227659838,2017/2/28
SZ300405,0.227659837,2017/2/28
SH600216,0.48498545,2017/2/28
SH600529,0.48498545,2017/2/28
SH603309,0.48498545,2017/2/28
SH603456,0.484985451,2017/2/28
SZ002365,0.484985451,2017/2/28
SZ002566,0.484985451,2017/2/28
SZ002758,0.484985451,2017/2/28
SZ002788,0.484985451,2017/2/28
SZ300254,0.484985451,2017/2/28
SZ300453,0.484985451,2017/2/28
SH600128,0.368488945,2017/2/28
SH600628,0.368488945,2017/2/28
SH600694,0.368488944,2017/2/28
SH603123,0.368488945,2017/2/28
SH600879,1.1099667,2017/2/28
SZ300456,1.109966702,2017/2/28
SZ002290,1.268961932,2017/2/28
SZ002403,1.268961931,2017/2/28
SZ300475,1.268961931,2017/2/28
SZ002314,0.141662417,2017/2/28
SZ002457,0.141662417,2017/2/28
SZ002641,0.141662417,2017/2/28
SH601226,1.195964121,2017/2/28
SZ002060,1.195964121,2017/2/28
SZ002743,1.195964121,2017/2/28
SZ002781,1.195964123,2017/2/28
SH600067,0.883806819,2017/2/28
SH600568,0.88380682,2017/2/28
SH600648,0.883806818,2017/2/28
SH600708,0.883806819,2017/2/28
SH600823,0.883806819,2017/2/28
SZ002077,0.883806818,2017/2/28
SH601677,0.705978821,2017/2/28
SZ002160,0.70597882,2017/2/28
SZ002295,0.70597882,2017/2/28
SZ300489,0.705978819,2017/2/28
SH601313,0.218720712,2017/2/28
SH603011,0.218720711,2017/2/28
SZ000880,0.21872071,2017/2/28
SZ002026,0.218720711,2017/2/28
SZ002347,0.218720711,2017/2/28
SZ002490,0.218720711,2017/2/28
SZ300151,0.218720712,2017/2/28
SZ300154,0.218720711,2017/2/28
SZ300165,0.218720711,2017/2/28
SZ300259,0.218720711,2017/2/28
SZ300421,0.218720712,2017/2/28
SZ002454,0.613148273,2017/2/28
SZ002536,0.613148272,2017/2/28
SZ002593,0.613148272,2017/2/28
SZ002607,0.613148272,2017/2/28
SZ002708,0.613148272,2017/2/28
SZ300375,0.613148272,2017/2/28
SH603328,0.396988089,2017/2/28
SZ000701,0.39698809,2017/2/28
SZ002782,0.396988091,2017/2/28
SZ300139,0.396988091,2017/2/28
SZ300241,0.39698809,2017/2/28
SZ300346,0.396988092,2017/2/28
SZ300389,0.39698809,2017/2/28
SH603015,0.246706884,2017/2/28
SZ002334,0.246706884,2017/2/28
SZ002441,0.246706885,2017/2/28
SZ002533,0.246706884,2017/2/28
SZ002580,0.246706884,2017/2/28
SZ002733,0.246706885,2017/2/28
SZ300286,0.246706886,2017/2/28
SH603608,0.124662927,2017/2/28
SZ002144,0.124662928,2017/2/28
SZ002763,0.124662928,2017/2/28
SH600811,0.26699199,2017/2/28
SZ000628,0.266991991,2017/2/28
SH600100,0.539555242,2017/2/28
SH600601,0.539555242,2017/2/28
SZ000021,0.539555242,2017/2/28
SZ000948,0.539555242,2017/2/28
SZ002649,0.539555243,2017/2/28
SZ300245,0.539555242,2017/2/28
SZ300384,0.539555242,2017/2/28
SH603118,0.609315052,2017/2/28
SZ000851,0.609315054,2017/2/28
SZ002417,0.609315054,2017/2/28
SH600188,0.515651197,2017/2/28
SH600348,0.515651197,2017/2/28
SH601857,0.515651197,2017/2/28
SZ000898,0.42298731,2017/2/28
SZ002318,0.42298731,2017/2/28
SZ002478,0.42298731,2017/2/28
SH601166,1.122591322,2017/2/28
SH600016,1.122591322,2017/2/28
SH600036,1.122591322,2017/2/28
SH601328,1.122591322,2017/2/28
SH600000,1.122591323,2017/2/28
SH601288,1.122591322,2017/2/28
SH601169,1.122591323,2017/2/28
SH601398,1.122591322,2017/2/28
SZ000001,1.122591322,2017/2/28
SH601988,1.122591322,2017/2/28
SH601818,1.122591322,2017/2/28
SH600015,1.122591323,2017/2/28
SH601009,1.122591322,2017/2/28
SH601939,1.122591322,2017/2/28
SZ002142,1.122591322,2017/2/28
SH601998,1.122591322,2017/2/28
SH601318,0.505426012,2017/2/28
SH600030,0.505426014,2017/2/28
SH600837,0.505426013,2017/2/28
SH601211,0.505426014,2017/2/28
SH601601,0.505426014,2017/2/28
SH601688,0.505426014,2017/2/28
SZ000776,0.505426013,2017/2/28
SH600958,0.505426013,2017/2/28
SH601628,0.505426013,2017/2/28
SZ000166,0.505426014,2017/2/28
SH600999,0.505426014,2017/2/28
SZ002736,0.505426014,2017/2/28
SH601377,0.505426014,2017/2/28
SH601336,0.505426015,2017/2/28
SH601099,0.505426013,2017/2/28
SH601901,0.505426014,2017/2/28
SZ000783,0.505426014,2017/2/28
SH601788,0.505426013,2017/2/28
SH600705,0.505426014,2017/2/28
SH600109,0.505426014,2017/2/28
SZ002673,0.505426013,2017/2/28
SH601555,0.505426013,2017/2/28
SZ000728,0.505426013,2017/2/28
SH600816,0.505426015,2017/2/28
SH601198,0.505426013,2017/2/28
SZ000750,0.505426014,2017/2/28
SH600369,0.505426013,2017/2/28
SH600061,0.505426013,2017/2/28
SZ000686,0.505426014,2017/2/28
SZ000415,0.505426014,2017/2/28
SZ002500,0.505426014,2017/2/28
SZ000712,0.505426013,2017/2/28
SH600783,0.505426013,2017/2/28
SZ002797,0.505426015,2017/2/28
SH600597,1.257462276,2017/2/28
SH601579,1.257462276,2017/2/28
SZ002582,1.257462277,2017/2/28
SZ002702,1.257462276,2017/2/28
